( passenger, driver )
( 3247, 3881)
( 3228, 3881)
( 3230, 4586)
( 1240, 1695)
( 3232, 3881)
( 3233, 3881)
( 3237, 3881)
( 3245, 3881)
( 3250, 3881)
( 3251, 3881)
( 3253, 3881)
( 3255, 3881)
( 3262, 116)
( 3205, 116)
( 3176, 3881)
( 3182, 116)
( 3183, 3881)
( 3185, 116)
( 3187, 3881)
( 3189, 3881)
( 3193, 3881)
( 3196, 116)
( 3199, 3881)
( 3208, 116)
( 3210, 3881)
( 3212, 3881)
( 3213, 3881)
( 3217, 116)
( 3219, 3881)
( 3223, 116)
( 3307, 3881)
( 3320, 116)
( 3322, 3881)
( 3325, 3881)
( 3336, 3881)
( 3338, 3881)
( 3306, 3881)
( 3340, 3881)
( 3341, 116)
( 3343, 3881)
( 3345, 3881)
( 3350, 3881)
( 3352, 3881)
( 3280, 116)
( 1202, 1695)
( 1200, 1695)
( 3268, 3881)
( 3272, 3881)
( 3278, 3881)
( 3279, 3881)
( 3284, 3881)
( 3285, 3881)
( 3294, 3881)
( 3296, 3881)
( 3299, 3881)
( 3301, 3881)
( 3303, 3881)
( 3305, 116)
( 3053, 3881)
( 3024, 3881)
( 3040, 116)
( 3041, 116)
( 3043, 3881)
( 3044, 116)
( 3046, 116)
( 3048, 3881)
( 3067, 3881)
( 3073, 3881)
( 3074, 3881)
( 3076, 3881)
( 3080, 116)
( 3083, 3881)
( 1362, 1695)
( 2999, 116)
( 2969, 3881)
( 2972, 116)
( 2973, 3881)
( 2998, 116)
( 3089, 3881)
( 3004, 116)
( 3020, 3881)
( 3165, 3881)
( 3134, 116)
( 3140, 3881)
( 3143, 3881)
( 3146, 116)
( 3148, 3881)
( 3157, 116)
( 3164, 116)
( 3133, 116)
( 3167, 3881)
( 3169, 116)
( 3170, 3881)
( 3172, 3881)
( 3173, 3881)
( 3174, 116)
( 3108, 116)
( 3096, 3881)
( 3097, 3881)
( 1354, 1695)
( 3099, 3881)
( 3102, 3881)
( 3105, 3881)
( 3106, 116)
( 3353, 116)
( 3116, 3881)
( 1336, 1695)
( 3119, 116)
( 3122, 116)
( 3123, 3881)
( 3126, 3881)
( 3127, 3881)
( 3683, 116)
( 3685, 3881)
( 3686, 3881)
( 3688, 3881)
( 3690, 3881)
( 3691, 3881)
( 3693, 116)
( 3701, 3881)
( 3702, 3881)
( 3675, 3881)
( 3705, 3881)
( 3716, 3881)
( 3721, 116)
( 3723, 116)
( 3732, 3881)
( 3734, 116)
( 3741, 3881)
( 3750, 116)
( 3752, 3881)
( 3646, 116)
( 3625, 3881)
( 3631, 3881)
( 3632, 3881)
( 3634, 116)
( 925, 1695)
( 3640, 3881)
( 923, 645)
( 3645, 3881)
( 3757, 116)
( 3650, 116)
( 3656, 3881)
( 3657, 116)
( 3659, 3881)
( 3662, 116)
( 3666, 116)
( 3670, 116)
( 900, 645)
( 898, 645)
( 3861, 3881)
( 3827, 3881)
( 3828, 3881)
( 3830, 116)
( 3833, 116)
( 3836, 3881)
( 3837, 116)
( 782, 645)
( 3855, 116)
( 3856, 3881)
( 3860, 3881)
( 791, 645)
( 3867, 3881)
( 3871, 3881)
( 3872, 116)
( 3873, 3881)
( 759, 645)
( 3874, 3881)
( 756, 645)
( 3878, 116)
( 3879, 116)
( 752, 645)
( 3884, 3881)
( 3797, 3881)
( 3758, 116)
( 3764, 116)
( 3766, 116)
( 3768, 116)
( 3769, 3881)
( 830, 645)
( 3781, 3881)
( 3782, 3881)
( 3785, 3881)
( 3793, 116)
( 3795, 3881)
( 939, 1695)
( 3798, 116)
( 3800, 116)
( 3802, 116)
( 3804, 3881)
( 806, 1695)
( 3810, 116)
( 3813, 3881)
( 3436, 116)
( 1088, 645)
( 3410, 116)
( 3411, 116)
( 3416, 3881)
( 3421, 116)
( 3425, 3881)
( 3431, 3881)
( 3432, 116)
( 3433, 3881)
( 3406, 3881)
( 1067, 645)
( 3437, 116)
( 3445, 3881)
( 3447, 3881)
( 3448, 116)
( 3449, 3881)
( 3450, 3881)
( 3451, 116)
( 3457, 116)
( 3458, 3881)
( 3355, 3881)
( 3359, 116)
( 3362, 116)
( 3365, 3881)
( 3377, 116)
( 3378, 116)
( 3385, 116)
( 3389, 116)
( 1101, 645)
( 1099, 645)
( 3396, 116)
( 3397, 3881)
( 3401, 3881)
( 3402, 116)
( 3404, 116)
( 3577, 116)
( 3550, 3881)
( 984, 1695)
( 981, 1695)
( 3564, 3881)
( 978, 645)
( 3567, 116)
( 3568, 116)
( 973, 1695)
