( passenger, driver )
( 1, -1)
( 4, -1)
( 7, -1)
( 8, 2051)
( 11, -1)
( 13, -1)
( 19, 2399)
( 20, -1)
( 22, 37)
( 23, -1)
( 25, -1)
( 26, -1)
( 28, 1224)
( 29, -1)
( 30, -1)
( 31, -1)
( 35, 2124)
( 36, -1)
( 38, -1)
( 39, -1)
( 43, -1)
( 45, -1)
( 46, -1)
( 47, -1)
( 50, -1)
( 51, 2470)
( 52, 91)
( 54, 116)
( 56, -1)
( 57, 100)
( 60, -1)
( 62, 109)
( 65, -1)
( 68, 2562)
( 69, -1)
( 71, 1547)
( 72, 127)
( 73, -1)
( 75, 1688)
( 78, -1)
( 79, -1)
( 80, -1)
( 83, 2771)
( 84, -1)
( 85, -1)
( 88, -1)
( 90, -1)
( 93, 115)
( 95, -1)
( 97, 172)
( 106, 2711)
( 108, 624)
( 110, -1)
( 111, -1)
( 115, -1)
( 116, -1)
( 117, 208)
( 118, -1)
( 119, -1)
( 121, 479)
( 122, 217)
( 123, -1)
( 124, 1026)
( 125, 732)
( 128, 2155)
( 131, -1)
( 132, 235)
( 134, -1)
( 135, -1)
( 141, -1)
( 143, 1961)
( 144, -1)
( 146, -1)
( 147, 262)
( 151, -1)
( 153, 2002)
( 155, 2286)
( 156, -1)
( 164, -1)
( 165, -1)
( 167, 1255)
( 169, -1)
( 170, 966)
( 171, 301)
( 172, 307)
( 174, -1)
( 175, 2887)
( 176, -1)
( 178, 1203)
( 179, -1)
( 180, -1)
( 182, 325)
( 184, -1)
( 185, -1)
( 186, -1)
( 187, 334)
( 188, 2250)
( 189, -1)
( 190, 2214)
( 191, -1)
( 194, 970)
( 196, -1)
( 199, -1)
( 202, 361)
( 204, 2717)
( 206, -1)
( 208, 1105)
( 213, -1)
( 219, 635)
( 224, -1)
( 225, 784)
( 226, -1)
( 228, 2622)
( 229, 948)
( 230, 320)
( 231, -1)
( 232, 415)
( 233, -1)
( 235, 2856)
( 236, 1455)
( 237, 2407)
( 238, 854)
( 241, 32)
( 244, -1)
( 250, -1)
( 252, 2729)
( 254, 1371)
( 255, -1)
( 257, 111)
( 259, -1)
( 260, 1817)
( 261, 2306)
( 262, -1)
( 263, -1)
( 266, 2676)
( 267, 478)
( 269, 351)
( 274, -1)
( 276, 1086)
( 277, 496)
( 278, -1)
( 279, -1)
( 280, -1)
( 284, 2353)
( 285, -1)
( 286, 2659)
( 291, 2895)
( 294, -1)
( 296, -1)
( 298, 2022)
( 299, 1194)
( 300, -1)
( 301, -1)
( 302, 541)
( 306, -1)
( 307, 550)
( 310, -1)
( 314, 2009)
( 319, 2571)
( 320, -1)
( 322, 577)
( 324, 607)
( 329, -1)
( 330, 102)
( 331, -1)
( 332, 399)
( 334, -1)
( 336, 1560)
( 341, -1)
( 343, 2909)
( 347, 2067)
( 353, -1)
( 354, -1)
( 359, 2591)
( 362, 649)
( 364, -1)
( 365, 2547)
( 366, -1)
( 369, -1)
( 372, 667)
( 374, -1)
( 376, -1)
( 378, -1)
( 383, -1)
( 384, 2823)
( 385, -1)
( 388, -1)
( 392, -1)
( 395, -1)
( 397, 712)
( 400, 630)
( 405, -1)
( 407, 730)
( 408, -1)
( 410, -1)
( 411, -1)
( 412, 739)
( 413, 1575)
( 414, 1715)
( 415, 183)
( 416, -1)
( 420, -1)
( 421, 1652)
( 424, -1)
( 426, -1)
( 429, -1)
( 430, 2713)
( 431, 1318)
( 432, 1115)
( 435, -1)
( 437, -1)
( 440, -1)
( 441, -1)
( 444, -1)
( 447, -1)
( 449, 1869)
( 451, -1)
( 452, 811)
( 456, -1)
( 458, 1980)
( 460, -1)
( 461, 1)
( 463, 2348)
( 466, 2100)
( 469, -1)
( 473, 2001)
( 477, 856)
( 479, -1)
( 480, 992)
( 481, -1)
( 483, -1)
( 485, -1)
( 486, -1)
( 490, -1)
( 491, 416)
( 492, -1)
( 493, -1)
( 496, -1)
( 497, 892)
( 499, 1068)
( 500, -1)
( 501, 302)
( 503, -1)
( 505, -1)
( 508, -1)
( 511, -1)
( 514, 1091)
( 515, 2864)
( 517, -1)
( 520, -1)
( 521, -1)
( 522, 937)
( 523, -1)
( 524, -1)
( 526, -1)
( 529, -1)
( 530, -1)
( 533, 1315)
( 536, 2986)
( 537, 964)
( 538, -1)
( 540, 1070)
( 542, 973)
( 544, 2406)
( 546, -1)
( 548, -1)
( 549, 2686)
( 550, 2069)
( 551, 2580)
( 552, 991)
( 558, 181)
( 561, 628)
( 564, -1)
( 565, 1568)
( 566, 1319)
( 567, 1018)
( 568, -1)
( 569, -1)
( 570, 1830)
( 572, 1027)
( 573, -1)
( 574, -1)
( 575, -1)
( 582, 1045)
( 584, -1)
( 586, -1)
( 587, 1054)
( 589, -1)
( 590, -1)
( 591, -1)
( 593, 1461)
( 598, 923)
( 599, -1)
( 600, -1)
( 603, 2779)
( 605, 2443)
( 606, -1)
( 608, -1)
( 614, 2671)
( 617, 1108)
( 621, 146)
( 622, 1117)
( 625, 2274)
( 630, 2258)
( 634, 1431)
( 635, 1196)
( 638, 668)
( 640, -1)
( 642, 1153)
( 644, 2876)
( 645, -1)
( 646, 1038)
( 650, -1)
( 651, -1)
( 652, 1171)
( 654, 237)
( 659, 2942)
( 661, -1)
( 663, 729)
( 667, 869)
( 669, 1273)
( 670, 1627)
( 673, 637)
( 675, 2726)
( 677, 1216)
( 678, 1283)
( 681, -1)
( 682, -1)
( 684, 286)
( 685, 504)
( 686, 1919)
( 687, 1234)
( 691, 1349)
( 693, -1)
( 694, 782)
( 695, -1)
( 698, -1)
( 699, -1)
( 700, 1619)
( 701, 2903)
( 702, 1261)
( 703, -1)
( 704, -1)
( 706, 2594)
( 709, -1)
( 710, -1)
( 711, 2865)
( 712, 1279)
( 713, 176)
( 714, -1)
( 717, 1288)
( 718, -1)
( 720, -1)
( 722, 2734)
( 723, 1590)
( 726, -1)
( 727, 1306)
( 729, 390)
( 731, -1)
( 735, -1)
( 736, -1)
( 739, -1)
( 741, -1)
( 745, 1595)
( 746, 499)
( 747, 1342)
( 748, -1)
( 752, 1351)
( 754, -1)
( 755, 298)
( 756, -1)
( 757, -1)
( 758, 725)
( 767, 1297)
( 769, 2654)
( 771, -1)
( 772, -1)
( 776, -1)
( 777, 1745)
( 778, -1)
( 782, 1405)
( 784, -1)
( 787, 1414)
( 791, -1)
( 797, 1432)
( 798, 2087)
( 799, 323)
( 800, -1)
( 802, 1441)
( 804, 1857)
( 806, 2322)
( 812, 1459)
( 815, 1543)
( 816, 988)
( 817, 1468)
( 819, -1)
( 820, -1)
( 823, 1632)
( 824, -1)
( 830, -1)
( 832, 1495)
( 835, 1716)
( 837, 2751)
( 841, 2252)
( 842, -1)
( 844, 905)
( 845, 1916)
( 846, 2167)
( 850, 203)
( 853, -1)
( 854, -1)
( 857, 1540)
( 859, -1)
( 860, -1)
( 865, 1728)
( 866, -1)
( 869, -1)
( 871, -1)
( 872, 1567)
( 873, -1)
( 874, 585)
( 875, -1)
( 878, 294)
( 880, -1)
( 882, 1585)
( 884, -1)
( 887, 1594)
( 890, 1111)
( 896, -1)
( 902, -1)
( 904, -1)
( 905, -1)
( 906, 2387)
( 911, -1)
( 913, -1)
( 915, -1)
( 920, -1)
( 923, -1)
( 927, -1)
( 928, 2727)
( 932, 1675)
