( passenger, driver )
( 318, -1)
( 321, -1)
( 413, -1)
( 427, -1)
( 484, -1)
( 538, -1)
( 541, -1)
( 619, -1)
( 729, -1)
( 776, -1)
( 1062, -1)
( 1149, -1)
( 1185, -1)
( 1196, -1)
( 1250, -1)
( 1357, -1)
( 1506, -1)
( 1539, -1)
( 1563, -1)
( 1580, -1)
( 1953, -1)
( 1980, -1)
( 1986, -1)
( 2031, -1)
( 2078, 530)
( 2201, -1)
( 2204, -1)
( 2235, -1)
( 2273, -1)
( 2308, -1)
( 2328, -1)
( 2336, -1)
( 2338, -1)
( 2345, -1)
( 2347, -1)
( 2351, -1)
( 2356, -1)
( 2379, 640)
( 2404, -1)
( 2406, -1)
( 2449, -1)
( 2452, -1)
( 2484, -1)
( 2547, -1)
( 2549, -1)
( 2559, -1)
( 2560, -1)
( 2581, -1)
( 2611, -1)
( 2630, -1)
( 2634, -1)
( 2652, -1)
( 2653, -1)
( 2660, -1)
( 2667, -1)
( 2671, -1)
( 2672, -1)
( 2708, -1)
( 2710, -1)
( 2714, 1403)
( 2721, -1)
( 2731, -1)
( 2732, -1)
( 2733, -1)
( 2747, -1)
( 2749, -1)
( 2752, -1)
( 2755, -1)
( 2756, -1)
( 2758, -1)
( 2759, -1)
( 2764, -1)
( 2768, -1)
( 2778, -1)
( 2786, -1)
( 2788, -1)
( 2792, -1)
( 2802, -1)
( 2809, -1)
( 2810, -1)
( 2819, -1)
( 2830, -1)
( 2832, -1)
( 2834, -1)
( 2840, -1)
( 2842, -1)
( 2843, 1360)
( 2844, -1)
( 2846, -1)
( 2847, -1)
( 2852, -1)
( 2853, 917)
( 2859, -1)
( 2865, -1)
( 2867, -1)
( 2868, -1)
( 2872, -1)
( 2876, -1)
( 2877, -1)
( 2880, -1)
( 2881, 1322)
( 2882, -1)
( 2884, -1)
( 2892, -1)
( 2893, -1)
( 2894, -1)
( 2902, -1)
( 2910, -1)
( 2922, -1)
( 2928, -1)
( 2929, -1)
( 2930, -1)
( 2931, -1)
( 2941, -1)
( 2958, -1)
( 2972, -1)
( 2974, -1)
( 2975, -1)
( 2976, -1)
( 2980, -1)
( 2982, -1)
( 2985, -1)
( 2986, -1)
( 2987, -1)
( 2989, -1)
( 2991, -1)
( 2992, -1)
( 2995, -1)
( 2996, -1)
( 2997, -1)
( 3000, -1)
